Nation,Name ,Style,Singer,History,link
Afghanistan,Classical music from Afghanistan (Kabul 1960s–70s),Pop afghane,Aryana Sayeed,"Cette chanson illustre la pop de Afghanistan, souvent nourrie d’influences locales (rythmes, langue, mélodies) tout en utilisant une production moderne. Elle circule largement via les médias et les plateformes, et participe à la scène contemporaine du pays. Interprété par Aryana Sayeed, « Banoo e Atash Nesheen » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=JioAXaOKK2g
Angola,Angola Traditional Music,Semba / musique angolaise,Bonga,"Le semba est l’un des styles fondateurs de la musique d’Angola, connu pour ses rythmes dansants et ses guitares. Souvent chanté en langue locale ou en portugais, il raconte la vie quotidienne, l’amour et l’histoire sociale du pays. Interprété par Bonga, « Mona Ki Ngi Xica » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=66ZaCQXlNII
Albania,ALBANIAN FOLK MUSIC 2013,Iso-polyphonie / folk,Saz'iso,"Le répertoire folk de Albania est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Saz'iso, « Tana » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=MNd8CRa48Uk
UnitedArabEmirates,United Arab Emirates — Oud (Traditional Music),Pop arabe,Hussain Al Jassmi,"Cette chanson illustre la pop de UnitedArabEmirates, souvent nourrie d’influences locales (rythmes, langue, mélodies) tout en utilisant une production moderne. Elle circule largement via les médias et les plateformes, et participe à la scène contemporaine du pays. Interprété par Hussain Al Jassmi, « Boshret Kheir » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=gvrbMN6aifM
Argentina,Libertango,Tango nuevo,Astor Piazzolla,"Le tango est né à la fin du XIXᵉ siècle dans le Río de la Plata et s’est imposé comme un symbole culturel de Argentina. Dans sa version moderne, il mêle mélodies nostalgiques, bandonéon et arrangements plus audacieux, entre danse et concert. Interprété par Astor Piazzolla, « Libertango » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=MepPfI7ebMY
Armenia,Dle Yaman,Duduk / musique arménienne,Djivan Gasparyan,"Ce titre est associé à la scène musicale de Armenia (Duduk / musique arménienne). Il met en avant des sonorités typiques du pays et s’écoute aussi bien lors d’événements culturels que dans la vie quotidienne. Interprété par Djivan Gasparyan, « Dle Yaman » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=UPq8bHs2svU
Australia,Marryuna,Hip-hop / Indigenous pop,Baker Boy,"Chanté en Yolngu Matha, ce titre célèbre la culture aborigène et la fierté des racines dans une Australie moderne qui peine encore à les reconnaître.",https://www.youtube.com/watch?v=afQcYH2nwoM
Austria,Le Beau Danube Bleu,Valse classique,Johann Strauss II,"Ce titre est associé à la scène musicale de Austria (Valse classique). Il met en avant des sonorités typiques du pays et s’écoute aussi bien lors d’événements culturels que dans la vie quotidienne. Interprété par Johann Strauss II, « Le Beau Danube Bleu » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=FLUYxOSZpjg
Azerbaijan,Ayrılık,Mugham / folk,Rashid Behbudov,"La musique traditionnelle de Azerbaijan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Rashid Behbudov, « Ayrılık » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=8gIO7k1Cd2o
Burundi,Sambolera,World / folk burundais,Khadja Nin,"Les musiques traditionnelles de Burundi reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Khadja Nin, « Sambolera » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=PvfTO2XpZKU
