Id,Nation,Nom,Ingredients,GoodAdress,History,CreationDate,Price,Diet,link
1,Afghanistan,Kabuli Pulao,"Riz basmati, agneau ou bœuf, carottes, raisins secs, oignon, ail, cardamome, cumin, huile","Bukhara Restaurant — Kaboul, Afghanistan","Le Kabuli Pulao est considéré comme le plat national de l’Afghanistan. Il s’agit d’un riz parfumé accompagné de viande, généralement de l’agneau, et garni de carottes et de raisins secs. Ce plat est souvent servi lors de grandes occasions, de fêtes familiales ou de célébrations traditionnelles.",Traditionnel,10,Viande halal,https://www.marmiton.org/recettes/recette_kabuli-palaw-riz-afghan-epice-au-poulet_46875.aspx
2,Angola,Muamba de Galinha,"Poulet, huile de palme, gombo (okra), ail, oignon, piment, tomate","Restaurant Lookal Beach Club — Luanda, Angola",La Muamba de Galinha est l’un des plats les plus traditionnels d’Angola. Il s’agit d’un ragoût de poulet préparé avec de l’huile de palme et des légumes comme le gombo. Ce plat est très populaire dans la cuisine angolaise et est souvent servi lors de repas familiaux ou de célébrations.,Traditionnel,10,Viande ,https://feed.continente.pt/receitas/moamba-de-galinha-a-moda-de-angola
3,Albania,Tavë Kosi,"épaule d'agneau désossée, beurre, huile végétale, eau, gousses d'ail , 
 riz blanc à grains longs, origan, farine,yaourt , œufs,Sel, Poivre","The Rooms Restaurant — Rruga Sami Frashëri, Tirana 1001, Albanie","Le Tavë Kosi (ou ""cocotte d'Elbasan"") tire ses origines du siège de Kruja en 1452. La légende raconte que les cuisiniers de la ville d'Elbasan préparaient ce mélange d'agneau et de yaourt (le kos) pour le sultan ottoman Mehmed II.
D'abord simple plat de campement militaire, cette recette mijotée est devenue un symbole culturel puissant : Elle s'est propagée dans tout l'Empire ottoman. Elle est indissociable de l'histoire de l'Albanie, ayant même été servie à Ismail Qemali lors de la proclamation de l'indépendance en 1912.
Aujourd'hui, au-delà de sa saveur, ce plat est considéré comme un véritable héritage historique pour le peuple albanais.",Traditionnel,6,Viande halal,https://www.marmiton.org/recettes/recette_gigot-d-agneau-cuit-au-yaourt-tave-kosi-albanie_17716.aspx
4,UnitedArabEmirates,Al Harees,"Blé concassé, viande (agneau ou poulet), sel, beurre ou ghee","Al Fanar Restaurant & Cafe — Dubaï, Émirats arabes unis",Le Harees est un plat traditionnel très populaire dans les Émirats arabes unis et dans plusieurs pays du Golfe. Il est préparé en faisant cuire lentement du blé avec de la viande jusqu’à obtenir une texture crémeuse. Ce plat est souvent consommé pendant le Ramadan et lors des fêtes religieuses.,Traditionnel,12.5,Viande halal,https://www.hachette-pratique.com/recette/harees-au-poulet/
5,Argentina,Asado,"Bœuf, saucisses, sel, poivre, charbon de bois","Don Julio Parrilla — Buenos Aires, Argentine",L’Asado est l’un des plats les plus emblématiques de la culture argentine. Il s’agit d’un barbecue traditionnel où différentes pièces de viande sont grillées lentement sur un feu de bois ou de charbon. L’asado est souvent un moment social important partagé en famille ou entre amis.,XIXᵉ siècle,20,Viande,https://www.hellofresh.fr/recipes/cote-de-boeuf-facon-asado-argentin-60bf76fa07246667310bcc86
6,Armenia,Khorovats,"
Viande (porc ou agneau), oignon, sel, poivre, herbes","Tavern Yerevan — Erevan, Arménie",Le Khorovats est le barbecue traditionnel arménien. La viande est marinée puis grillée sur un feu ouvert et souvent servie avec des légumes grillés et du pain lavash. Ce plat est très populaire lors des réunions familiales et des fêtes.,Traditionnel,14,Viande,https://www.remitly.com/blog/fr/mode-de-vie-et-culture/platsnationaux-khorovats-armenia-national-dish/
7,Australia,Meat Pie,"Pâte feuilletée, bœuf haché, sauce brune, oignon, épices","Harry’s Café de Wheels — Sydney, Australie","La Meat Pie est l’un des plats les plus populaires en Australie. Il s’agit d’une tourte garnie de viande et de sauce, souvent consommée comme street food ou lors d’événements sportifs. Ce plat est devenu un symbole de la culture culinaire australienne.",XIXᵉ siècle,7.5,Viande,https://www.recipetineats.com/meat-pie-recipe/
8,Austria,Wiener Schnitzel,"Escalope de veau, farine, œufs, chapelure, beurre ou huile, citron, sel, poivre","Figlmüller — Vienne, Autriche","Le Wiener Schnitzel est l’un des plats les plus emblématiques de la cuisine autrichienne. Il s’agit d’une escalope de veau panée et frite, traditionnellement servie avec du citron et parfois accompagnée de salade de pommes de terre. Ce plat est particulièrement associé à la ville de Vienne, où il est devenu un symbole de la gastronomie autrichienne.","XIXᵉ siècle, Vienne, Autriche",20,Viande,https://www.austria.info/fr/recettes/escalope-viennoise/
9,Azerbaijan,Plov azéri,"Riz, agneau ou bœuf, oignon, safran, fruits secs, épices","Firuze Restaurant — Baku, Azerbaïdjan","Plov azéri est un plat traditionnel associé à Azerbaijan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Plov+az%C3%A9ri
10,Burundi,Ibihaza,"Haricots rouges, potiron, oignon, huile, sel, épices","Restaurant Oasis — Bujumbura, Burundi","Ibihaza est un plat traditionnel associé à Burundi. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Ibihaza
